
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------

10/11/2021 12:44:38 SENDER-2 starts sending data to RECEIVER2
10/11/2021 12:44:38 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:54:55 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:54:55 SENDER-2    ||  PACKET 7 SENT TO CHANNEL
10/11/2021 12:54:55 SENDER-1    ||  COLLISION OCCURED
10/11/2021 12:54:56 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:56 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:56 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:54:57 SENDER-2    ||  PACKET 8 SENT TO CHANNEL
10/11/2021 12:54:57 SENDER-1    ||  COLLISION OCCURED
10/11/2021 12:54:57 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:57 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:57 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:54:58 SENDER-2    ||  WAITING
10/11/2021 12:54:58 SENDER-1    ||  WAITING
10/11/2021 12:54:58 SENDER-2    ||  WAITING
10/11/2021 12:54:58 SENDER-1    ||  PACKET 9 SENT TO CHANNEL
10/11/2021 12:54:58 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:59 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:59 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:59 SENDER-1    ||  PACKET 10 SENT TO CHANNEL
10/11/2021 12:54:59 SENDER-2    ||  COLLISION OCCURED
10/11/2021 12:54:59 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:55:00 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:55:00 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:55:00 SENDER-1    ||  WAITING
10/11/2021 12:55:00 SENDER-2    ||  PACKET 9 SENT TO CHANNEL
10/11/2021 12:55:01 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:55:01 SENDER-1    ||  FOUND CHANNEL BUSY

